2012_rank,city,state,pop_2012,pop,change,land_area,label
61,Pittsburgh,Pennsylvania,306211,305704,0.1700%,55.4,0
234,Murfreesboro,Tennessee,114038,108755,4.8600%,55.3,0
279,West Palm Beach,Florida,101903,99919,1.9900%,55.3,0
195,Thousand Oaks,California,128412,126683,1.3600%,55,0
249,Rochester,Minnesota,108992,106769,2.0800%,54.6,0
171,Cary,North Carolina,145693,135234,7.7300%,54.3,0
163,Fort Collins,Colorado,148612,143986,3.2100%,54.3,0
79,Norfolk,Virginia,245782,242803,1.2300%,54.1,0
47,Minneapolis,Minnesota,392880,382578,2.6900%,54,0
260,High Point,North Carolina,106586,104371,2.1200%,53.8,0
187,Killeen,Texas,134654,127921,5.2600%,53.6,0
254,Pueblo,Colorado,107772,106595,1.100%,53.6,0
132,Santa Clarita,California,179013,176320,1.5300%,52.7,0
66,Saint Paul,Minnesota,290770,285068,2.00%,52,0
243,Wilmington,North Carolina,109922,106476,3.2400%,51.5,0
185,Hampton,Virginia,136836,137436,-0.4400%,51.4,0
113,Moreno Valley,California,199552,193365,3.200%,51.3,0
36,Long Beach,California,467892,462257,1.2200%,50.3,0
143,Ontario,California,167211,163924,2.0100%,49.9,0
55,Anaheim,California,343248,336265,2.0800%,49.8,0
108,Tacoma,Washington,202010,198397,1.8200%,49.7,0
76,Chula Vista,California,252422,243916,3.4900%,49.6,0
214,Lafayette,Louisiana,122761,120623,1.7700%,49.2,0
245,Fargo,North Dakota,109779,105549,4.0100%,48.8,0
21,Boston,Massachusetts,636479,617594,3.0600%,48.3,0
186,McAllen,Texas,134719,129877,3.7300%,48.3,0
230,Peoria,Illinois,115687,115007,0.5900%,48,0
155,Salem,Oregon,157429,154637,1.8100%,47.9,0
14,San Francisco,California,825863,805235,2.5600%,46.9,0
145,Vancouver,Washington,165489,161791,2.2900%,46.5,0
178,Mesquite,Texas,143195,139824,2.4100%,46,0
268,Green Bay,Wisconsin,104868,104057,0.7800%,45.5,0
162,Hayward,California,149392,144186,3.6100%,45.3,0
112,Aurora,Illinois,199932,197899,1.0300%,44.9,0
123,Grand Rapids,Michigan,190411,188040,1.2600%,44.4,0
218,Evansville,Indiana,120235,117429,2.3900%,44.2,0
154,Eugene,Oregon,157986,156185,1.1500%,43.7,0
258,Billings,Montana,106954,104170,2.6700%,43.4,0
172,Lakewood,Colorado,145516,142980,1.7700%,42.9,0
159,Pasadena,Texas,152272,149043,2.1700%,42.8,0
110,Fontana,California,201812,196069,2.9300%,42.4,0
152,Elk Grove,California,159038,153015,3.9400%,42.2,0
265,Odessa,Texas,106102,99940,6.1700%,42,0
229,Provo,Utah,115919,112488,3.0500%,41.7,0
204,Simi Valley,California,125793,124237,1.2500%,41.5,0
287,South Bend,Indiana,100800,101168,-0.3600%,41.5,0
141,Santa Rosa,California,170685,167815,1.7100%,41.3,0
137,Oceanside,California,171293,167086,2.5200%,41.2,0
73,Buffalo,New York,259384,261310,-0.7400%,40.4,0
140,Rancho Cucamonga,California,170746,165269,3.3100%,39.9,0
144,Tempe,Arizona,166842,161719,3.1700%,39.9,0
153,Corona,California,158391,152374,3.9500%,38.8,0
176,Naperville,Illinois,143684,141853,1.2900%,38.8,0
247,Carlsbad,California,109318,105328,3.7900%,37.7,0
208,Stamford,Connecticut,125109,122643,2.0100%,37.6,0
256,Fairfield,California,107684,105321,2.2400%,37.4,0
127,Worcester,Massachusetts,182669,181045,0.900%,37.4,0
242,Elgin,Illinois,109927,108188,1.6100%,37.2,0
106,Modesto,California,203547,201165,1.1800%,36.9,0
165,Escondido,California,147575,143911,2.5500%,36.8,0
192,Sterling Heights,Michigan,130410,129699,0.5500%,36.5,0
206,Carrollton,Texas,125409,119097,5.300%,36.3,0
211,Roseville,California,124519,118788,4.8200%,36.2,0
199,Visalia,California,127081,124442,2.1200%,36.2,0
235,Lansing,Michigan,113996,114297,-0.2600%,36,0
44,Miami,Florida,413892,399457,3.6100%,35.9,0
101,Rochester,New York,210532,210565,-0.0200%,35.8,0
189,West Valley City,Utah,132434,129480,2.2800%,35.6,0
246,Arvada,Colorado,109745,106433,3.1100%,35.1,0
139,Fort Lauderdale,Florida,170747,165521,3.1600%,34.8,0
212,Thornton,Colorado,124140,118772,4.5200%,34.8,0
188,Warren,Michigan,134141,134056,0.0600%,34.4,0
261,Round Rock,Texas,106573,99887,6.6900%,34.1,0
259,Murrieta,California,106810,103466,3.2300%,33.6,0
269,Everett,Washington,104655,103019,1.5900%,33.4,0
288,Flint,Michigan,100515,102434,-1.8700%,33.4,0
241,Manchester,New Hampshire,110209,109565,0.5900%,33.1,0
148,Pembroke Pines,Florida,160306,154019,4.0800%,33.1,0
253,West Jordan,Utah,108383,103712,4.500%,32.5,0
202,Bellevue,Washington,126439,122363,3.3300%,32,0
158,Springfield,Massachusetts,153552,153060,0.3200%,31.9,0
248,Westminster,Colorado,109169,106114,2.8800%,31.6,0
225,Vallejo,California,117796,115942,1.600%,30.7,0
210,Concord,California,124711,122067,2.1700%,30.5,0
122,Glendale,California,194478,191719,1.4400%,30.5,0
267,Temecula,California,105208,100097,5.1100%,30.2,0
262,Richmond,California,106516,103701,2.7100%,30.1,0
194,Miramar,Florida,128729,122041,5.4800%,29.5,0
273,Centennial,Colorado,103743,100377,3.3500%,28.7,0
213,Kent,Washington,122999,92411,33.100%,28.6,0
275,Richardson,Texas,103297,99223,4.1100%,28.6,0
244,Waterbury,Connecticut,109915,110366,-0.4100%,28.5,0
